match_type,confidence_score,bank_transaction_id,ledger_transaction_id,account_id,currency,amount_bank,amount_internal,transaction_date_bank,transaction_date_internal,reference_id_bank,reference_id_internal,raw_reference_bank,raw_reference_internal,normalized_reference,counterparty_bank,counterparty_internal,description_bank,description_internal
Exact Match,1.0,BK-S000100-B1,LD-S000100-L1,ACC1002,CAD,14660.97,14660.97,2026-04-08,2026-04-08,REF000100,REF000100,REF000100,REF000100,REF000100,North Ridge Treasury,North Ridge Treasury,Fee - North Ridge Treasury,Fee - North Ridge Treasury
Exact Match,1.0,BK-S000101-B1,LD-S000101-L1,ACC2001,USD,13011.33,13011.33,2026-03-26,2026-03-26,REF000101,REF000101,REF000101,REF000101,REF000101,Summit Client Account,Summit Client Account,Withdrawal - Summit Client Account,Withdrawal - Summit Client Account
Exact Match,1.0,BK-S000102-B1,LD-S000102-L1,ACC1001,CAD,1620.76,1620.76,2026-03-21,2026-03-21,REF000102,REF000102,REF000102,REF000102,REF000102,Lakeview Partners,Lakeview Partners,Interest - Lakeview Partners,Interest - Lakeview Partners
Exact Match,1.0,BK-S000103-B1,LD-S000103-L1,ACC3001,CAD,14829.93,14829.93,2026-04-13,2026-04-13,REF000103,REF000103,REF000103,REF000103,REF000103,Evergreen Custody,Evergreen Custody,Wire In - Evergreen Custody,Wire In - Evergreen Custody
Exact Match,1.0,BK-S000104-B1,LD-S000104-L1,ACC2002,USD,11461.24,11461.24,2026-03-12,2026-03-12,REF000104,REF000104,REF000104,REF000104,REF000104,Summit Client Account,Summit Client Account,Fee - Summit Client Account,Fee - Summit Client Account
Exact Match,1.0,BK-S000105-B1,LD-S000105-L1,ACC2002,USD,21585.59,21585.59,2026-03-21,2026-03-21,REF000105,REF000105,REF000105,REF000105,REF000105,Pinebridge Vendor Services,Pinebridge Vendor Services,Fee - Pinebridge Vendor Services,Fee - Pinebridge Vendor Services
Exact Match,1.0,BK-S000106-B1,LD-S000106-L1,ACC2001,USD,14202.32,14202.32,2026-03-26,2026-03-26,REF000106,REF000106,REF000106,REF000106,REF000106,Summit Client Account,Summit Client Account,Withdrawal - Summit Client Account,Withdrawal - Summit Client Account
Exact Match,1.0,BK-S000107-B1,LD-S000107-L1,ACC2001,USD,20798.25,20798.25,2026-03-26,2026-03-26,REF000107,REF000107,REF000107,REF000107,REF000107,Bluewater Holdings,Bluewater Holdings,Wire In - Bluewater Holdings,Wire In - Bluewater Holdings
Exact Match,1.0,BK-S000108-B1,LD-S000108-L1,ACC2002,USD,9682.7,9682.7,2026-03-04,2026-03-04,REF000108,REF000108,REF000108,REF000108,REF000108,Summit Client Account,Summit Client Account,Interest - Summit Client Account,Interest - Summit Client Account
Exact Match,1.0,BK-S000109-B1,LD-S000109-L1,ACC1002,CAD,309.23,309.23,2026-04-05,2026-04-05,REF000109,REF000109,REF000109,REF000109,REF000109,Summit Client Account,Summit Client Account,Fee - Summit Client Account,Fee - Summit Client Account
Exact Match,1.0,BK-S000110-B1,LD-S000110-L1,ACC3001,CAD,14220.14,14220.14,2026-04-15,2026-04-15,REF000110,REF000110,REF000110,REF000110,REF000110,RBC Banking Services,RBC Banking Services,Wire Out - RBC Banking Services,Wire Out - RBC Banking Services
Exact Match,1.0,BK-S000111-B1,LD-S000111-L1,ACC2002,USD,12961.01,12961.01,2026-04-11,2026-04-11,REF000111,REF000111,REF000111,REF000111,REF000111,North Ridge Treasury,North Ridge Treasury,Wire In - North Ridge Treasury,Wire In - North Ridge Treasury
Exact Match,1.0,BK-S000112-B1,LD-S000112-L1,ACC2002,USD,14230.36,14230.36,2026-03-31,2026-03-31,REF000112,REF000112,REF000112,REF000112,REF000112,RBC Banking Services,RBC Banking Services,Interest - RBC Banking Services,Interest - RBC Banking Services
Exact Match,1.0,BK-S000113-B1,LD-S000113-L1,ACC1002,CAD,21505.9,21505.9,2026-03-18,2026-03-18,REF000113,REF000113,REF000113,REF000113,REF000113,Pinebridge Vendor Services,Pinebridge Vendor Services,Wire In - Pinebridge Vendor Services,Wire In - Pinebridge Vendor Services
Exact Match,1.0,BK-S000114-B1,LD-S000114-L1,ACC2001,USD,14918.16,14918.16,2026-03-20,2026-03-20,REF000114,REF000114,REF000114,REF000114,REF000114,Summit Client Account,Summit Client Account,Withdrawal - Summit Client Account,Withdrawal - Summit Client Account
Exact Match,1.0,BK-S000115-B1,LD-S000115-L1,ACC2002,USD,14042.32,14042.32,2026-03-22,2026-03-22,REF000115,REF000115,REF000115,REF000115,REF000115,Summit Client Account,Summit Client Account,Fee - Summit Client Account,Fee - Summit Client Account
Exact Match,1.0,BK-S000116-B1,LD-S000116-L1,ACC1002,CAD,19613.07,19613.07,2026-03-25,2026-03-25,REF000116,REF000116,REF000116,REF000116,REF000116,Bluewater Holdings,Bluewater Holdings,Deposit - Bluewater Holdings,Deposit - Bluewater Holdings
Exact Match,1.0,BK-S000117-B1,LD-S000117-L1,ACC2002,USD,16648.46,16648.46,2026-04-12,2026-04-12,REF000117,REF000117,REF000117,REF000117,REF000117,Evergreen Custody,Evergreen Custody,Interest - Evergreen Custody,Interest - Evergreen Custody
Exact Match,1.0,BK-S000118-B1,LD-S000118-L1,ACC3001,CAD,21980.57,21980.57,2026-03-22,2026-03-22,REF000118,REF000118,REF000118,REF000118,REF000118,Summit Client Account,Summit Client Account,Deposit - Summit Client Account,Deposit - Summit Client Account
Exact Match,1.0,BK-S000119-B1,LD-S000119-L1,ACC1001,CAD,16714.75,16714.75,2026-03-10,2026-03-10,REF000119,REF000119,REF000119,REF000119,REF000119,Evergreen Custody,Evergreen Custody,Withdrawal - Evergreen Custody,Withdrawal - Evergreen Custody
Exact Match,1.0,BK-S000120-B1,LD-S000120-L1,ACC2001,USD,2927.57,2927.57,2026-04-14,2026-04-14,REF000120,REF000120,REF000120,REF000120,REF000120,Pinebridge Vendor Services,Pinebridge Vendor Services,Deposit - Pinebridge Vendor Services,Deposit - Pinebridge Vendor Services
Exact Match,1.0,BK-S000121-B1,LD-S000121-L1,ACC2002,USD,19225.64,19225.64,2026-04-10,2026-04-10,REF000121,REF000121,REF000121,REF000121,REF000121,Bluewater Holdings,Bluewater Holdings,Fee - Bluewater Holdings,Fee - Bluewater Holdings
Exact Match,1.0,BK-S000122-B1,LD-S000122-L1,ACC2001,USD,3362.64,3362.64,2026-03-06,2026-03-06,REF000122,REF000122,REF000122,REF000122,REF000122,Cedar Prime LP,Cedar Prime LP,Wire Out - Cedar Prime LP,Wire Out - Cedar Prime LP
Exact Match,1.0,BK-S000123-B1,LD-S000123-L1,ACC2001,USD,2346.86,2346.86,2026-03-03,2026-03-03,REF000123,REF000123,REF000123,REF000123,REF000123,Pinebridge Vendor Services,Pinebridge Vendor Services,Wire In - Pinebridge Vendor Services,Wire In - Pinebridge Vendor Services
Exact Match,1.0,BK-S000124-B1,LD-S000124-L1,ACC1002,CAD,20020.47,20020.47,2026-03-27,2026-03-27,REF000124,REF000124,REF000124,REF000124,REF000124,Evergreen Custody,Evergreen Custody,Deposit - Evergreen Custody,Deposit - Evergreen Custody
Exact Match,1.0,BK-S000125-B1,LD-S000125-L1,ACC2002,USD,22907.9,22907.9,2026-04-13,2026-04-13,REF000125,REF000125,REF000125,REF000125,REF000125,Evergreen Custody,Evergreen Custody,Deposit - Evergreen Custody,Deposit - Evergreen Custody
Exact Match,1.0,BK-S000126-B1,LD-S000126-L1,ACC2001,USD,22573.8,22573.8,2026-03-17,2026-03-17,REF000126,REF000126,REF000126,REF000126,REF000126,Summit Client Account,Summit Client Account,Interest - Summit Client Account,Interest - Summit Client Account
Exact Match,1.0,BK-S000127-B1,LD-S000127-L1,ACC1002,CAD,24703.64,24703.64,2026-03-29,2026-03-29,REF000127,REF000127,REF000127,REF000127,REF000127,North Ridge Treasury,North Ridge Treasury,Wire In - North Ridge Treasury,Wire In - North Ridge Treasury
Exact Match,1.0,BK-S000128-B1,LD-S000128-L1,ACC2001,USD,10232.64,10232.64,2026-03-20,2026-03-20,REF000128,REF000128,REF000128,REF000128,REF000128,Summit Client Account,Summit Client Account,Interest - Summit Client Account,Interest - Summit Client Account
Exact Match,1.0,BK-S000129-B1,LD-S000129-L1,ACC3001,CAD,17782.7,17782.7,2026-04-06,2026-04-06,REF000129,REF000129,REF000129,REF000129,REF000129,Bluewater Holdings,Bluewater Holdings,Fee - Bluewater Holdings,Fee - Bluewater Holdings
Exact Match,1.0,BK-S000130-B1,LD-S000130-L1,ACC1001,CAD,24366.47,24366.47,2026-04-13,2026-04-13,REF000130,REF000130,REF000130,REF000130,REF000130,Summit Client Account,Summit Client Account,Deposit - Summit Client Account,Deposit - Summit Client Account
Exact Match,1.0,BK-S000131-B1,LD-S000131-L1,ACC3001,CAD,15901.39,15901.39,2026-03-15,2026-03-15,REF000131,REF000131,REF000131,REF000131,REF000131,Evergreen Custody,Evergreen Custody,Fee - Evergreen Custody,Fee - Evergreen Custody
Exact Match,1.0,BK-S000132-B1,LD-S000132-L1,ACC1001,CAD,378.38,378.38,2026-03-29,2026-03-29,REF000132,REF000132,REF000132,REF000132,REF000132,Evergreen Custody,Evergreen Custody,Fee - Evergreen Custody,Fee - Evergreen Custody
Exact Match,1.0,BK-S000133-B1,LD-S000133-L1,ACC2002,USD,535.47,535.47,2026-03-13,2026-03-13,REF000133,REF000133,REF000133,REF000133,REF000133,Pinebridge Vendor Services,Pinebridge Vendor Services,Wire Out - Pinebridge Vendor Services,Wire Out - Pinebridge Vendor Services
Exact Match,1.0,BK-S000134-B1,LD-S000134-L1,ACC1002,CAD,8083.39,8083.39,2026-03-31,2026-03-31,REF000134,REF000134,REF000134,REF000134,REF000134,Pinebridge Vendor Services,Pinebridge Vendor Services,Fee - Pinebridge Vendor Services,Fee - Pinebridge Vendor Services
Exact Match,1.0,BK-S000135-B1,LD-S000135-L1,ACC1002,CAD,24518.61,24518.61,2026-04-13,2026-04-13,REF000135,REF000135,REF000135,REF000135,REF000135,Pinebridge Vendor Services,Pinebridge Vendor Services,Wire Out - Pinebridge Vendor Services,Wire Out - Pinebridge Vendor Services
Exact Match,1.0,BK-S000136-B1,LD-S000136-L1,ACC1001,CAD,381.73,381.73,2026-04-04,2026-04-04,REF000136,REF000136,REF000136,REF000136,REF000136,North Ridge Treasury,North Ridge Treasury,Fee - North Ridge Treasury,Fee - North Ridge Treasury
Exact Match,1.0,BK-S000137-B1,LD-S000137-L1,ACC2001,USD,1600.59,1600.59,2026-04-13,2026-04-13,REF000137,REF000137,REF000137,REF000137,REF000137,Pinebridge Vendor Services,Pinebridge Vendor Services,Wire In - Pinebridge Vendor Services,Wire In - Pinebridge Vendor Services
Exact Match,1.0,BK-S000138-B1,LD-S000138-L1,ACC1001,CAD,8252.56,8252.56,2026-03-30,2026-03-30,REF000138,REF000138,REF000138,REF000138,REF000138,RBC Banking Services,RBC Banking Services,Withdrawal - RBC Banking Services,Withdrawal - RBC Banking Services
Exact Match,1.0,BK-S000139-B1,LD-S000139-L1,ACC1001,CAD,261.32,261.32,2026-04-01,2026-04-01,REF000139,REF000139,REF000139,REF000139,REF000139,Evergreen Custody,Evergreen Custody,Fee - Evergreen Custody,Fee - Evergreen Custody
Exact Match,1.0,BK-S000140-B1,LD-S000140-L1,ACC3001,CAD,4708.55,4708.55,2026-04-07,2026-04-07,REF000140,REF000140,REF000140,REF000140,REF000140,RBC Banking Services,RBC Banking Services,Interest - RBC Banking Services,Interest - RBC Banking Services
Exact Match,1.0,BK-S000141-B1,LD-S000141-L1,ACC3001,CAD,383.48,383.48,2026-03-18,2026-03-18,REF000141,REF000141,REF000141,REF000141,REF000141,Summit Client Account,Summit Client Account,Interest - Summit Client Account,Interest - Summit Client Account
Exact Match,1.0,BK-S000142-B1,LD-S000142-L1,ACC1001,CAD,24468.22,24468.22,2026-03-24,2026-03-24,REF000142,REF000142,REF000142,REF000142,REF000142,Pinebridge Vendor Services,Pinebridge Vendor Services,Withdrawal - Pinebridge Vendor Services,Withdrawal - Pinebridge Vendor Services
Exact Match,1.0,BK-S000143-B1,LD-S000143-L1,ACC1002,CAD,240.9,240.9,2026-03-30,2026-03-30,REF000143,REF000143,REF000143,REF000143,REF000143,Bluewater Holdings,Bluewater Holdings,Wire In - Bluewater Holdings,Wire In - Bluewater Holdings
Exact Match,1.0,BK-S000144-B1,LD-S000144-L1,ACC1002,CAD,20915.63,20915.63,2026-04-06,2026-04-06,REF000144,REF000144,REF000144,REF000144,REF000144,Lakeview Partners,Lakeview Partners,Wire Out - Lakeview Partners,Wire Out - Lakeview Partners
Exact Match,1.0,BK-S000145-B1,LD-S000145-L1,ACC2001,USD,822.57,822.57,2026-04-08,2026-04-08,REF000145,REF000145,REF000145,REF000145,REF000145,Evergreen Custody,Evergreen Custody,Wire Out - Evergreen Custody,Wire Out - Evergreen Custody
Exact Match,1.0,BK-S000146-B1,LD-S000146-L1,ACC1002,CAD,4163.28,4163.28,2026-04-12,2026-04-12,REF000146,REF000146,REF000146,REF000146,REF000146,Pinebridge Vendor Services,Pinebridge Vendor Services,Wire In - Pinebridge Vendor Services,Wire In - Pinebridge Vendor Services
Exact Match,1.0,BK-S000147-B1,LD-S000147-L1,ACC1001,CAD,717.55,717.55,2026-03-17,2026-03-17,REF000147,REF000147,REF000147,REF000147,REF000147,Cedar Prime LP,Cedar Prime LP,Wire Out - Cedar Prime LP,Wire Out - Cedar Prime LP
Exact Match,1.0,BK-S000148-B1,LD-S000148-L1,ACC2002,USD,11848.13,11848.13,2026-04-02,2026-04-02,REF000148,REF000148,REF000148,REF000148,REF000148,Lakeview Partners,Lakeview Partners,Fee - Lakeview Partners,Fee - Lakeview Partners
Exact Match,1.0,BK-S000149-B1,LD-S000149-L1,ACC3001,CAD,1747.62,1747.62,2026-03-30,2026-03-30,REF000149,REF000149,REF000149,REF000149,REF000149,Summit Client Account,Summit Client Account,Fee - Summit Client Account,Fee - Summit Client Account
Exact Match,1.0,BK-S000150-B1,LD-S000150-L1,ACC1001,CAD,2763.78,2763.78,2026-04-15,2026-04-15,REF000150,REF000150,REF000150,REF000150,REF000150,Cedar Prime LP,Cedar Prime LP,Interest - Cedar Prime LP,Interest - Cedar Prime LP
Exact Match,1.0,BK-S000151-B1,LD-S000151-L1,ACC1001,CAD,15048.75,15048.75,2026-03-18,2026-03-18,REF000151,REF000151,REF000151,REF000151,REF000151,Pinebridge Vendor Services,Pinebridge Vendor Services,Wire Out - Pinebridge Vendor Services,Wire Out - Pinebridge Vendor Services
Exact Match,1.0,BK-S000152-B1,LD-S000152-L1,ACC2001,USD,3380.28,3380.28,2026-04-02,2026-04-02,REF000152,REF000152,REF000152,REF000152,REF000152,Cedar Prime LP,Cedar Prime LP,Interest - Cedar Prime LP,Interest - Cedar Prime LP
Exact Match,1.0,BK-S000153-B1,LD-S000153-L1,ACC1002,CAD,10931.53,10931.53,2026-03-29,2026-03-29,REF000153,REF000153,REF000153,REF000153,REF000153,Summit Client Account,Summit Client Account,Interest - Summit Client Account,Interest - Summit Client Account
Exact Match,1.0,BK-S000154-B1,LD-S000154-L1,ACC1001,CAD,7117.36,7117.36,2026-03-28,2026-03-28,REF000154,REF000154,REF000154,REF000154,REF000154,Evergreen Custody,Evergreen Custody,Fee - Evergreen Custody,Fee - Evergreen Custody
Exact Match,1.0,BK-S000155-B1,LD-S000155-L1,ACC1001,CAD,18870.14,18870.14,2026-03-06,2026-03-06,REF000155,REF000155,REF000155,REF000155,REF000155,Pinebridge Vendor Services,Pinebridge Vendor Services,Wire In - Pinebridge Vendor Services,Wire In - Pinebridge Vendor Services
Exact Match,1.0,BK-S000156-B1,LD-S000156-L1,ACC3001,CAD,3933.55,3933.55,2026-04-05,2026-04-05,REF000156,REF000156,REF000156,REF000156,REF000156,Pinebridge Vendor Services,Pinebridge Vendor Services,Deposit - Pinebridge Vendor Services,Deposit - Pinebridge Vendor Services
Exact Match,1.0,BK-S000157-B1,LD-S000157-L1,ACC1001,CAD,3486.41,3486.41,2026-04-08,2026-04-08,REF000157,REF000157,REF000157,REF000157,REF000157,Lakeview Partners,Lakeview Partners,Fee - Lakeview Partners,Fee - Lakeview Partners
Exact Match,1.0,BK-S000158-B1,LD-S000158-L1,ACC1002,CAD,9821.47,9821.47,2026-03-23,2026-03-23,REF000158,REF000158,REF000158,REF000158,REF000158,North Ridge Treasury,North Ridge Treasury,Wire In - North Ridge Treasury,Wire In - North Ridge Treasury
Exact Match,1.0,BK-S000159-B1,LD-S000159-L1,ACC3001,CAD,14361.75,14361.75,2026-04-09,2026-04-09,REF000159,REF000159,REF000159,REF000159,REF000159,North Ridge Treasury,North Ridge Treasury,Deposit - North Ridge Treasury,Deposit - North Ridge Treasury
Exact Match,1.0,BK-S000160-B1,LD-S000160-L1,ACC2001,USD,832.88,832.88,2026-03-23,2026-03-23,REF000160,REF000160,REF000160,REF000160,REF000160,RBC Banking Services,RBC Banking Services,Fee - RBC Banking Services,Fee - RBC Banking Services
Exact Match,1.0,BK-S000161-B1,LD-S000161-L1,ACC1001,CAD,11075.98,11075.98,2026-04-03,2026-04-03,REF000161,REF000161,REF000161,REF000161,REF000161,Pinebridge Vendor Services,Pinebridge Vendor Services,Wire In - Pinebridge Vendor Services,Wire In - Pinebridge Vendor Services
Exact Match,1.0,BK-S000162-B1,LD-S000162-L1,ACC2001,USD,97.35,97.35,2026-04-08,2026-04-08,REF000162,REF000162,REF000162,REF000162,REF000162,Evergreen Custody,Evergreen Custody,Deposit - Evergreen Custody,Deposit - Evergreen Custody
Exact Match,1.0,BK-S000163-B1,LD-S000163-L1,ACC1001,CAD,12655.88,12655.88,2026-03-29,2026-03-29,REF000163,REF000163,REF000163,REF000163,REF000163,Summit Client Account,Summit Client Account,Fee - Summit Client Account,Fee - Summit Client Account
Exact Match,1.0,BK-S000164-B1,LD-S000164-L1,ACC3001,CAD,7797.92,7797.92,2026-03-23,2026-03-23,REF000164,REF000164,REF000164,REF000164,REF000164,Summit Client Account,Summit Client Account,Wire In - Summit Client Account,Wire In - Summit Client Account
Exact Match,1.0,BK-S000165-B1,LD-S000165-L1,ACC1001,CAD,2314.77,2314.77,2026-03-26,2026-03-26,REF000165,REF000165,REF000165,REF000165,REF000165,Lakeview Partners,Lakeview Partners,Wire Out - Lakeview Partners,Wire Out - Lakeview Partners
Exact Match,1.0,BK-S000166-B1,LD-S000166-L1,ACC2001,USD,497.65,497.65,2026-03-21,2026-03-21,REF000166,REF000166,REF000166,REF000166,REF000166,RBC Banking Services,RBC Banking Services,Fee - RBC Banking Services,Fee - RBC Banking Services
Exact Match,1.0,BK-S000167-B1,LD-S000167-L1,ACC3001,CAD,21000.5,21000.5,2026-03-15,2026-03-15,REF000167,REF000167,REF000167,REF000167,REF000167,Pinebridge Vendor Services,Pinebridge Vendor Services,Withdrawal - Pinebridge Vendor Services,Withdrawal - Pinebridge Vendor Services
Exact Match,1.0,BK-S000168-B1,LD-S000168-L1,ACC1001,CAD,2868.7,2868.7,2026-03-02,2026-03-02,REF000168,REF000168,REF000168,REF000168,REF000168,Pinebridge Vendor Services,Pinebridge Vendor Services,Interest - Pinebridge Vendor Services,Interest - Pinebridge Vendor Services
Exact Match,1.0,BK-S000169-B1,LD-S000169-L1,ACC2002,USD,3764.16,3764.16,2026-04-10,2026-04-10,REF000169,REF000169,REF000169,REF000169,REF000169,Bluewater Holdings,Bluewater Holdings,Withdrawal - Bluewater Holdings,Withdrawal - Bluewater Holdings
Exact Match,1.0,BK-S000170-B1,LD-S000170-L1,ACC2002,USD,810.04,810.04,2026-03-24,2026-03-24,REF000170,REF000170,REF000170,REF000170,REF000170,Lakeview Partners,Lakeview Partners,Withdrawal - Lakeview Partners,Withdrawal - Lakeview Partners
Exact Match,1.0,BK-S000171-B1,LD-S000171-L1,ACC3001,CAD,18899.32,18899.32,2026-03-26,2026-03-26,REF000171,REF000171,REF000171,REF000171,REF000171,Lakeview Partners,Lakeview Partners,Wire In - Lakeview Partners,Wire In - Lakeview Partners
Exact Match,1.0,BK-S000172-B1,LD-S000172-L1,ACC1001,CAD,508.96,508.96,2026-04-10,2026-04-10,REF000172,REF000172,REF000172,REF000172,REF000172,Pinebridge Vendor Services,Pinebridge Vendor Services,Deposit - Pinebridge Vendor Services,Deposit - Pinebridge Vendor Services
Exact Match,1.0,BK-S000173-B1,LD-S000173-L1,ACC1002,CAD,227.54,227.54,2026-03-07,2026-03-07,REF000173,REF000173,REF000173,REF000173,REF000173,Evergreen Custody,Evergreen Custody,Wire Out - Evergreen Custody,Wire Out - Evergreen Custody
Exact Match,1.0,BK-S000174-B1,LD-S000174-L1,ACC2002,USD,11773.73,11773.73,2026-04-06,2026-04-06,REF000174,REF000174,REF000174,REF000174,REF000174,Pinebridge Vendor Services,Pinebridge Vendor Services,Interest - Pinebridge Vendor Services,Interest - Pinebridge Vendor Services
Exact Match,1.0,BK-S000175-B1,LD-S000175-L1,ACC2002,USD,8267.69,8267.69,2026-03-31,2026-03-31,REF000175,REF000175,REF000175,REF000175,REF000175,North Ridge Treasury,North Ridge Treasury,Wire In - North Ridge Treasury,Wire In - North Ridge Treasury
Exact Match,1.0,BK-S000176-B1,LD-S000176-L1,ACC3001,CAD,1902.57,1902.57,2026-03-20,2026-03-20,REF000176,REF000176,REF000176,REF000176,REF000176,Pinebridge Vendor Services,Pinebridge Vendor Services,Wire In - Pinebridge Vendor Services,Wire In - Pinebridge Vendor Services
Exact Match,1.0,BK-S000177-B1,LD-S000177-L1,ACC1001,CAD,12105.08,12105.08,2026-04-08,2026-04-08,REF000177,REF000177,REF000177,REF000177,REF000177,Bluewater Holdings,Bluewater Holdings,Deposit - Bluewater Holdings,Deposit - Bluewater Holdings
Exact Match,1.0,BK-S000178-B1,LD-S000178-L1,ACC1002,CAD,4620.67,4620.67,2026-04-08,2026-04-08,REF000178,REF000178,REF000178,REF000178,REF000178,Bluewater Holdings,Bluewater Holdings,Fee - Bluewater Holdings,Fee - Bluewater Holdings
Exact Match,1.0,BK-S000179-B1,LD-S000179-L1,ACC1001,CAD,6945.85,6945.85,2026-04-11,2026-04-11,REF000179,REF000179,REF000179,REF000179,REF000179,Summit Client Account,Summit Client Account,Deposit - Summit Client Account,Deposit - Summit Client Account
Exact Match,1.0,BK-S000180-B1,LD-S000180-L1,ACC3001,CAD,7789.45,7789.45,2026-03-24,2026-03-24,REF000180,REF000180,REF000180,REF000180,REF000180,RBC Banking Services,RBC Banking Services,Wire Out - RBC Banking Services,Wire Out - RBC Banking Services
Exact Match,1.0,BK-S000181-B1,LD-S000181-L1,ACC1001,CAD,8912.58,8912.58,2026-04-11,2026-04-11,REF000181,REF000181,REF000181,REF000181,REF000181,RBC Banking Services,RBC Banking Services,Withdrawal - RBC Banking Services,Withdrawal - RBC Banking Services
Exact Match,1.0,BK-S000182-B1,LD-S000182-L1,ACC3001,CAD,647.25,647.25,2026-03-22,2026-03-22,REF000182,REF000182,REF000182,REF000182,REF000182,Pinebridge Vendor Services,Pinebridge Vendor Services,Wire Out - Pinebridge Vendor Services,Wire Out - Pinebridge Vendor Services
Exact Match,1.0,BK-S000183-B1,LD-S000183-L1,ACC2002,USD,3033.26,3033.26,2026-04-08,2026-04-08,REF000183,REF000183,REF000183,REF000183,REF000183,RBC Banking Services,RBC Banking Services,Wire Out - RBC Banking Services,Wire Out - RBC Banking Services
Exact Match,1.0,BK-S000184-B1,LD-S000184-L1,ACC1002,CAD,18730.59,18730.59,2026-04-14,2026-04-14,REF000184,REF000184,REF000184,REF000184,REF000184,Cedar Prime LP,Cedar Prime LP,Withdrawal - Cedar Prime LP,Withdrawal - Cedar Prime LP
Exact Match,1.0,BK-S000185-B1,LD-S000185-L1,ACC3001,CAD,5326.31,5326.31,2026-03-02,2026-03-02,REF000185,REF000185,REF000185,REF000185,REF000185,Lakeview Partners,Lakeview Partners,Fee - Lakeview Partners,Fee - Lakeview Partners
Exact Match,1.0,BK-S000186-B1,LD-S000186-L1,ACC1002,CAD,8099.01,8099.01,2026-03-09,2026-03-09,REF000186,REF000186,REF000186,REF000186,REF000186,Cedar Prime LP,Cedar Prime LP,Wire Out - Cedar Prime LP,Wire Out - Cedar Prime LP
Exact Match,1.0,BK-S000187-B1,LD-S000187-L1,ACC3001,CAD,19391.38,19391.38,2026-04-12,2026-04-12,REF000187,REF000187,REF000187,REF000187,REF000187,Evergreen Custody,Evergreen Custody,Wire In - Evergreen Custody,Wire In - Evergreen Custody
Exact Match,1.0,BK-S000188-B1,LD-S000188-L1,ACC1002,CAD,20417.05,20417.05,2026-04-14,2026-04-14,REF000188,REF000188,REF000188,REF000188,REF000188,Evergreen Custody,Evergreen Custody,Wire Out - Evergreen Custody,Wire Out - Evergreen Custody
Exact Match,1.0,BK-S000189-B1,LD-S000189-L1,ACC2002,USD,24270.13,24270.13,2026-04-13,2026-04-13,REF000189,REF000189,REF000189,REF000189,REF000189,North Ridge Treasury,North Ridge Treasury,Fee - North Ridge Treasury,Fee - North Ridge Treasury
Exact Match,1.0,BK-S000190-B1,LD-S000190-L1,ACC1002,CAD,20406.97,20406.97,2026-03-16,2026-03-16,REF000190,REF000190,REF000190,REF000190,REF000190,Summit Client Account,Summit Client Account,Deposit - Summit Client Account,Deposit - Summit Client Account
Exact Match,1.0,BK-S000191-B1,LD-S000191-L1,ACC3001,CAD,19674.98,19674.98,2026-03-30,2026-03-30,REF000191,REF000191,REF000191,REF000191,REF000191,RBC Banking Services,RBC Banking Services,Interest - RBC Banking Services,Interest - RBC Banking Services
Exact Match,1.0,BK-S000192-B1,LD-S000192-L1,ACC3001,CAD,482.53,482.53,2026-03-17,2026-03-17,REF000192,REF000192,REF000192,REF000192,REF000192,Pinebridge Vendor Services,Pinebridge Vendor Services,Wire Out - Pinebridge Vendor Services,Wire Out - Pinebridge Vendor Services
Exact Match,1.0,BK-S000193-B1,LD-S000193-L1,ACC3001,CAD,194.28,194.28,2026-03-19,2026-03-19,REF000193,REF000193,REF000193,REF000193,REF000193,Summit Client Account,Summit Client Account,Wire In - Summit Client Account,Wire In - Summit Client Account
Exact Match,1.0,BK-S000194-B1,LD-S000194-L1,ACC1001,CAD,23331.33,23331.33,2026-03-29,2026-03-29,REF000194,REF000194,REF000194,REF000194,REF000194,RBC Banking Services,RBC Banking Services,Wire Out - RBC Banking Services,Wire Out - RBC Banking Services
Exact Match,1.0,BK-S000195-B1,LD-S000195-L1,ACC2001,USD,9997.9,9997.9,2026-03-25,2026-03-25,REF000195,REF000195,REF000195,REF000195,REF000195,Bluewater Holdings,Bluewater Holdings,Wire Out - Bluewater Holdings,Wire Out - Bluewater Holdings
Exact Match,1.0,BK-S000196-B1,LD-S000196-L1,ACC2001,USD,875.66,875.66,2026-03-09,2026-03-09,REF000196,REF000196,REF000196,REF000196,REF000196,Summit Client Account,Summit Client Account,Wire Out - Summit Client Account,Wire Out - Summit Client Account
Exact Match,1.0,BK-S000197-B1,LD-S000197-L1,ACC2002,USD,121.3,121.3,2026-04-09,2026-04-09,REF000197,REF000197,REF000197,REF000197,REF000197,North Ridge Treasury,North Ridge Treasury,Interest - North Ridge Treasury,Interest - North Ridge Treasury
Exact Match,1.0,BK-S000198-B1,LD-S000198-L1,ACC3001,CAD,3668.48,3668.48,2026-04-08,2026-04-08,REF000198,REF000198,REF000198,REF000198,REF000198,North Ridge Treasury,North Ridge Treasury,Withdrawal - North Ridge Treasury,Withdrawal - North Ridge Treasury
Exact Match,1.0,BK-S000199-B1,LD-S000199-L1,ACC1001,CAD,15947.45,15947.45,2026-03-27,2026-03-27,REF000199,REF000199,REF000199,REF000199,REF000199,Cedar Prime LP,Cedar Prime LP,Wire Out - Cedar Prime LP,Wire Out - Cedar Prime LP
